objectIndex,max_jf,can_rwIds,ed_rwIds
200300014235,263,"32030001,32030002,32030003,32030004,32030005,32030006,32030007,32030008,32030009","32030002,32030003,32030005,32030006,32030007,32030008,32030009"
200300014292,10,"32030001,32030002",NULL
200300014347,1,32030001,32030001
200300014379,1,32030001,32030001
200300014719,20,"32030001,32030002","32030001,32030002"
200300014764,10,"32030001,32030002","32030001,32030002"
200300014908,20,"32030001,32030002",NULL
200300014959,5,32030001,32030001
200300015090,30,"32030001,32030002,32030003","32030001,32030002,32030003"
200300015283,10,"32030001,32030002",NULL
200300015606,20,"32030001,32030002","32030001,32030002"
200300016513,10,"32030001,32030002",NULL
200300016688,1,32030001,32030001
200300018052,101,"32030001,32030002,32030003,32030004,32030005","32030001,32030002,32030003,32030004,32030005"
200300018168,11,"32030001,32030002","32030001,32030002"
200300018373,35,"32030001,32030002,32030003","32030001,32030002,32030003"
200300018953,10,"32030001,32030002","32030001,32030002"
200300019744,10,"32030001,32030002",NULL
200300020585,20,"32030001,32030002",NULL
